id	desc
128454	You can banish this card from your Graveyard, then target 2 cards among the Pendulum Monsters you control and/or the "Magician" and "Performapal" cards in your Pendulum Zone; return both to the hand. You can only use this effect of "Performapal Springoose" once per turn.
131182	If you control a "Miracle Flipper", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls.
135598	When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Beast-Type monster from your Deck to your hand.
146746	[INVALID_DATA]
164710	This turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set). You can banish this card from the Graveyard; this turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set).
168917	Once per turn: You can target 1 "Vylon" Monster Card you control that is an Equip Card; Special Summon that target in face-up Defense Position. Banish it when it leaves the field.
176392	If a face-up "Koa'ki Meiru" monster(s) on the field would be destroyed during the End Phase, you can destroy this card instead. When a face-up "Koa'ki Meiru" monster(s) on the field is destroyed during the End Phase, you can Special Summon 1 "Koa'ki Meiru Token" (Rock-Type/EARTH/Level 4/ATK 1800/DEF 1800).
176393	Special Summoned with the effect of "Koa'ki Meiru Prototype".
191749	Banish "H - Heated Heart", "E - Emergency Call", "R - Righteous Justice" and "O - Oversoul" from your Graveyard; Special Summon 1 "Elemental HERO" Normal Monster from your Deck. All "Elemental HERO" Normal Monsters you currently control can attack your opponent directly this turn.
209710	If you control at least 2 other Cyberse monsters and have no cards in your hand: You can pay 1000 LP; draw 1 card. You can only use this effect of "Flick Clown" once per turn.
213326	Add 1 "Elemental HERO" monster from your Deck to your hand.
218704	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent's monster as a result of battle, your opponent skips his/her next Draw Phase.
220414	[INVALID_DATA]
242146	If the equipped monster attacks a face-down Defense Position monster, it gains 1500 ATK during damage calculation only.
255998	During your Main Phase 1, you can activate this card's effect. If you do, it can attack your opponent directly this turn. Other monsters cannot attack during the turn you activate this effect.
259314	Target 1 face-up "Inzektor" monster you control; equip this card to that target. It gains 1000 DEF, and cannot be destroyed by your opponent's card effects.
263926	Cannot be Normal or Special Summoned if you control a monster. You can Special Summon this card (from your hand) in Attack Position. If another monster(s) is Summoned to your field while you control this monster: Destroy this card.
269012	Level 10 or higher monsters on the field cannot be targeted or destroyed by card effects. If a Level 10 or higher monster on the field destroys a monster by battle and sends it to the Graveyard: The player who controlled the destroyed monster takes 1000 damage. When this card on the field is destroyed by a card effect and sent to the Graveyard: You can add 1 DIVINE monster from your Deck to your hand.
269510	[INVALID_DATA]
276357	If a face-up Spirit monster(s) you control returns to your hand while this card is face-up on the field (except during the Damage Step): You can target 1 card your opponent controls; destroy it. When an opponent's monster declares an attack: You can banish 1 Spirit monster from your Graveyard; negate the attack, then end the Battle Phase. You can only use each effect of "Shinobird Salvation" once per turn.
282886	When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can discard 1 WATER monster to the Graveyard; Special Summon 1 "Mermail" monster from your Deck in face-up Defense Position. You can only use the effect of "Mermail Abyssnose" once per turn.
286392	[INVALID_DATA]
293542	When a Level 4 or lower monster(s) is Special Summoned (except during the Damage Step): You can Special Summon this card from your hand. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can add 1 "T.G." monster from your Deck to your hand, except "T.G. Warwolf".
295517	[INVALID_DATA]
296499	Activate this card by declaring 1 Monster Type. Monsters of that Type cannot declare attacks. Once per turn, during your Standby Phase, Tribute 1 monster or destroy this card.
303660	You can only equip this card to "Jinzo". As long as this card is equipped, the effects of Trap Cards controlled by the equipped monster's controller are not negated by the effect of the equipped monster. When this card is removed from the field, the equipped monster is destroyed. This card's activation and effect cannot be negated by any other card.
313513	Send 3 "Ancient Gear" cards you control to the Graveyard. You can Special Summon up to 1 "Ancient Gear Golem" from your hand and 1 from your Deck, ignoring the Summoning conditions. Then, destroy all monsters you control except "Ancient Gear Golems". You cannot Normal Summon or Set until the end of your next turn.
336369	When this card is destroyed by a card effect and sent to the Graveyard: You can Special Summon 1 Level 5 or higher "Gusto" monster from your Deck.
340002	If you control 2 or more "Performapal" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another "Performapal" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand.
359563	[INVALID_DATA]
368382	[INVALID_DATA]
373085	When this card is Normal Summoned: You can send cards from the top of your opponent's Deck to the GY, equal to the number of cards they control. If this card is Special Summoned: You can send cards from the top of your Deck to the GY, equal to the number of cards your opponent controls. You can only use this effect of "Firebrand Hymnist" once per turn.
387282	When this card is Normal Summoned: You can add 1 "Gagaga" Spell/Trap Card from your Deck to your hand. You can target 1 other "Gagaga" monster you control; the Levels of that monster and this card become their combined current Levels, until the end of this turn. You can only use this effect of "Gagaga Sister" once per turn.
402568	This card can attack your opponent directly. If this card inflicts battle damage to your opponent by a direct attack: Your opponent cannot activate cards or effects until the end of this turn.
403847	All Warrior-Type monsters you control gain 200 ATK for each Warrior or Spellcaster-Type monster you control.
423585	While this card is face-up on the field, it cannot be Tributed. If this card is Normal or Flip Summoned: Change this card to Defense Position. Once per turn: You can discard 1 Spell; Special Summon 1 Level 4 monster from your Deck, but that monster cannot attack this turn.
423705	If either player equips an Equip Card(s) to this card: Destroy that Equip Card(s).
425934	As long as this card remains face-up on your side of the field, neither player can activate an effect by discarding from his/her hand.
440556	[INVALID_DATA]
458748	Tribute 1 "Invoked" monster; Special Summon 1 "Invoked" monster from your Extra Deck with a different original Attribute from that monster's. (This Special Summon is treated as a Fusion Summon.) You can only activate 1 "The Book of the Law" per turn.
464362	[INVALID_DATA]
473469	You can activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.
487395	This ancient water spirit haunts the glacial monoliths of Antarctica. It has the power to seep into the pores of any substance and chill it to the bone.
494922	[INVALID_DATA]
525110	When this card is destroyed by battle and sent to the Graveyard, you can Special Summon up to 2 "Inmato" monsters from your Deck. They cannot be used as Synchro Material Monsters this turn.
549481	This creature is shielded with a tough hide of hair and is excellent at defending itself.
564541	This card can be treated as 2 Tributes for the Tribute Summon of a Dragon-Type monster. If this card is in your Graveyard during your Standby Phase and you control no monsters, you can Special Summon this card in Attack Position. You cannot activate this effect if there are any monsters in your Graveyard that are not Dragon-Type. If this card is Special Summoned with this effect, remove it from play when it is removed from the field.
575512	If a "PSY-Frame" monster(s) is Special Summoned to your side of the field (except during the Damage Step), you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using only "PSY-Frame" monsters you control. At the start of the Damage Step, if a "PSY-Frame" monster you control battles an opponent's monster: You can discard 1 "PSY-Frame" monster; your battling monster gains ATK equal to the discarded monster's ATK until the end of this turn.
581014	[INVALID_DATA]
595626	When an opponent's monster declares an attack: You can discard this card, then target 1 monster in either GY, except this card; Special Summon it to your field, but send it to the GY during the End Phase. If this card is destroyed by battle or card effect and sent to the GY: You can add 1 "Monster Reborn" from your Deck or GY to your hand during the End Phase of this turn. You can only use each effect of "Ankuriboh" once per turn.
596051	Decrease 1 selected monster's DEF by 500 points during the turn this card is activated.
598988	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 "Rainbow Dragon" from your hand or Deck. There can only be 1 face-up "Malefic" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.
601193	[INVALID_DATA]
612115	When this card is Special Summoned by the effect of a "Gladiator Beast" monster, you can remove from play 1 card from your opponent's Graveyard. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 "Gladiator Beast" monster from your Deck, except "Gladiator Beast Retiari".
637216	You can target 1 face-up monster you control; send 1 monster from your Extra Deck to the GY with the same original Type as that face-up monster, but for the rest of this turn, you cannot Special Summon monsters, except monsters with the same original Type as the monster sent to the GY by this effect. You can only use this effect of "Monster Express" once per turn.
645087	When this card is Normal Summoned: You can target 1 Level 2 or lower monster in your GY; Special Summon it in Defense Position, but its effects are negated. If this card is sent from the field to the GY: You can Special Summon 1 "Gadget Token" (Cyberse/LIGHT/Level 2/ATK 0/DEF 0). You can only use this effect of "Cyberse Gadget" once per turn.
645088	Special Summoned with the effect of "Cyberse Gadget".
645794	When this card is Normal or Special Summoned: You can Set 1 "Majespecter" Spell/Trap Card directly from your Deck, but it cannot activate this turn. You can only use this effect of "Majespecter Toad - Ogama" once per turn. Cannot be targeted or destroyed by your opponent's card effects.
652362	When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower "Alien" monster from your Graveyard. Destroy it during the End Phase.
674561	Target 1 DARK monster with 1500 or less ATK in your GY; add that target to your hand.
675319	All "Zoodiac" monsters you control gain 300 ATK and DEF. Monsters your opponent controls cannot target face-up Beast-Warrior-Type monsters you control for attacks, except the Beast-Warrior-Type monster you control with the highest ATK (either, if tied). Once per turn, if a "Zoodiac" monster(s) you control would be destroyed by card effect, you can destroy 1 monster in your hand or field instead of 1 "Zoodiac" monster.
691925	Discard 1 "Lightsworn" monster; draw 2 cards, then send the top 2 cards of your Deck to the GY.
698785	[INVALID_DATA]
703897	When a Spell/Trap Card, or monster effect, is activated while you control an "Orcust" Link Monster: Negate the activation, and if you do, banish that card. You can banish this card from your GY; add to your hand 1 of your DARK Machine monsters that is banished or in your Deck. You cannot Special Summon monsters the turn you activate this effect, except DARK Machine monsters. You can only use 1 "Orcust Crescendo" effect per turn, and only once that turn.
706925	When this card inflicts battle damage to your opponent: You can Special Summon 1 Level 4 or lower "Atlantean" Sea Serpent-Type monster from your Deck, except "Atlantean Marksman". When this card is sent to the Graveyard to activate a WATER monster's effect: Target 1 Set card your opponent controls; destroy that target.
712559	All "Amazoness" monsters gain 200 ATK. Once per turn, when an "Amazoness" monster is destroyed by battle or card effect and sent to the GY: You can Special Summon 1 "Amazoness" monster from your Deck with a Level less than or equal to that "Amazoness" monster in the GY.
720147	Tribute any number of "Generaider" monsters, then target 1 face-up Xyz Monster you control; attach exactly that many "Generaider" monsters from your hand, field, and/or GY to it, except the monsters Tributed to activate this effect. You can only activate 1 "Generaider Boss Bite" per turn.
732302	A mysterious temple of skulls and bones that pulls in unsuspecting enemies.
734741	If you control a monster that is not a "Burning Abyss" monster, destroy this card. Cannot be used as a Synchro Material, except for the Synchro Summon of a "Burning Abyss" Synchro Monster. If you control no Spell/Trap Cards: You can Special Summon this card from your hand. You can only use this effect of "Rubic, Malebranche of the Burning Abyss" once per turn.
739444	[INVALID_DATA]
744887	You can only control 1 "Utgarda, Generaider Boss of Delusion". (Quick Effect): You can Tribute 2 "Generaider" monsters and/or Rock monsters, then target 1 card on the field; banish it. You can only use this effect of "Utgarda, Generaider Boss of Delusion" once per turn.
756652	This monster splits in two and attacks from opposite sides.
759393	FLIP: Target 1 face-up FIRE monster your opponent controls; take control of that target while this card is face-up on the field.
770365	[INVALID_DATA]
786906	Target 1 monster that cannot be Normal Summoned/Set in either GY; Special Summon it.
799183	When a Spell/Trap Card, or monster effect, is activated that targets a monster(s) on the field, while you control a "Black Luster Soldier" monster: Negate the activation, and if you do, destroy that card. If this card is in your Graveyard: You can remove 1 Spell Counter from your side of the field; Set this card, but banish it when it leaves the field.
811734	[INVALID_DATA]
816427	(Quick Effect): You can send 1 FIRE monster from your hand to the GY, then target 1 card in your opponent's GY; banish that card. If a card is banished from your opponent's GY, while you control this monster (except during the Damage Step): You can send 1 FIRE monster with 200 or less DEF from your Deck to the GY, except "Neo Flamvell Lady". You can only use each effect of "Neo Flamvell Lady" once per turn.
847915	Activate only if you control a "Number" monster. "Number" monsters on the field cannot be destroyed by card effects, and cannot be destroyed by battle except with another "Number" monster. When a "Number" monster you control is destroyed, destroy this card.
856784	If your LP are lower than your opponent's and your opponent controls a monster with the highest ATK on the field (even if it's tied): Reveal 3 cards with different names from your Deck, place them on top of your Deck in random order, then draw 1 card. For the rest of this turn after this card resolves, you cannot Set Spells/Traps, also you can only activate one more card or effect. You can only activate 1 "Draw of Fate" per turn.
876330	You can Special Summon this card (from your hand) by sending 1 face-up "Dragunity" monster you control to the GY. When this card is Normal or Special Summoned from the hand: You can target 1 Dragon "Dragunity" monster in your GY; equip that target to this card.
879958	Target 1 Link Monster you control; equip it with this card. Your opponent cannot target the equipped monster with card effects, also it cannot be destroyed by battle. You can banish this card and 2 Link Monsters from your GY, then target 1 Link Monster you control; it can make a second attack during each Battle Phase this turn.
899287	You can discard this card; add 1 "Golden Castle of Stromberg" from your Deck to your hand. If this card is Normal or Special Summoned: You can target 1 card in your opponent's Spell & Trap Zone; destroy it. You can only use this effect of "Glife the Phantom Bird" once per turn.
900787	[INVALID_DATA]
904185	Tribute any number of WIND monsters, except Tokens; Special Summon an equal number of "Mecha Phantom Beast Tokens" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). You can only activate 1 "Vertical Landing" per turn.
904186	Special Summoned with the effect of "Mecha Phantom Beast" monsters and related cards.
911883	If you control no monsters: Special Summon 1 Level 4 or lower Normal Monster from the Deck.
917796	All "Gagaga" monsters you currently control gain 500 ATK for each "Gagaga" monster you currently control, until your next Standby Phase. You can only activate 1 "Gagagatag" per turn.
923596	Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: You can add 1 "Geargia" monster from your Deck to your hand, except "Geargiarmor".
938717	You can target up to 2 Machine "Gadget" monsters you control or in your GY with different names; Special Summon this card from your hand, then equip those targets to this card (regardless of their Type). You can only use this effect of "Boot-Up Corporal - Command Dynamo" once per turn. Gains 1000 ATK for each monster equipped to this card by this effect.
967928	[INVALID_DATA]
975299	When this card is activated: You can add 1 "Boss Rush" from your Deck to your hand. All "B.E.S." monsters you control gain 500 ATK and DEF, your opponent cannot target them with card effects, and they cannot be destroyed by your opponent's card effects. Once per turn: You can Special Summon 1 "B.E.S." monster from your hand. If a "B.E.S." monster(s) is Normal or Special Summoned to your field: Place 1 counter on it.
980973	During your Standby Phase: You can send this card to the GY; Special Summon 1 "Armed Dragon LV5" from your hand or Deck.
981540	Target 1 monster on the field; this turn, that monster cannot be destroyed by battle, also any battle damage you take from attacks involving that monster is halved.
983995	When your opponent activates a Spell Card, Trap Card, or monster effect that returns a card(s) from the field to the hand: Negate that effect, and if you do, send 1 card from your opponent's hand (at random) or from their side of the field to the Graveyard. When this Set card is destroyed by your opponent's card effect and sent to the Graveyard: Draw 1 card.
984114	When this card is Summoned: You can target 2 "roid" monsters in your GY, except "Expressroid"; add those targets to your hand.
987311	[INVALID_DATA]
1003028	If your opponent controls a monster and all face-up monsters you control (min. 1) are Level 4, you can Special Summon this card (from your hand). You can only Special Summon "Doggy Diver" once per turn this way. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a Warrior-Type monster.
1003840	You can Tribute 1 Tuner monster; Special Summon 1 "Synchron" monster from your Deck with a different Level than the Tributed monster had on the field. During your opponent's turn, if you Special Summon a Synchro Monster from your Extra Deck: Target 1 card on the field; shuffle it into the Deck. You can only use each effect of "Starlight Junktion" once per turn.
1005587	When your opponent Special Summons a monster(s) with 2000 or more ATK: Negate the effects of 1 of those monsters with 2000 or more ATK, and if you do, destroy it.
1006081	[INVALID_DATA]
1033312	Send 1 Level 4 or lower Normal Monster from your Deck to the Graveyard, and if you do, add 1 card with the same name as that card from your Deck to your hand. You can only activate 1 "Painful Decision" per turn.
1036974	Select 1 face-up monster your opponent controls. Inflict damage to your opponent equal to half that monster's original ATK. Your monsters cannot attack this turn.
1045143	When this card is Normal or Flip Summoned: You can Special Summon 1 "Geargia" monster from your hand or Graveyard in Defense Position.
1050186	If this card is Summoned: You can send 1 "tellarknight" card from your Deck to the Graveyard, except "Satellarknight Unukalhai". You can only use this effect of "Satellarknight Unukalhai" once per turn.
1050355	During the End Phase: You can banish this card; activate 1 "Dream Mirror of Joy" directly from your hand or Deck. You can only use this effect of "Dream Mirror of Terror" once per turn. Each time your opponent Special Summons a monster(s), inflict 300 damage to your opponent. This effect is only applied while you control a DARK "Dream Mirror" monster.
1050684	Add 1 "Scrap" Tuner from your Deck to your hand.
1061200	Increase the Levels of all "F.A." monsters on the field by 2 during the Main Phase and Battle Phase. Your opponent cannot target "F.A." monsters you control with card effects. If this face-up card on the field is destroyed by a card effect: You can add 1 "F.A." card from your Deck to your hand, except "F.A. City Grand Prix". You can only use this effect of "F.A. City Grand Prix" once per turn.
1073952	Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.
1082946	Move the turn count forward by 1 turn. The turn in which this card is activated continues as normal.
1102515	If this card is destroyed by battle and sent to the GY: Draw 1 card, but if this card was Special Summoned by the effect of "Dark Mimic LV1", draw 2 cards instead.
1118137	If an attack is declared involving the equipped monster: Place 1 Spell Counter on this card. The equipped monster gains 500 ATK/DEF for each Spell Counter on this card. If the equipped monster would be destroyed by battle or card effect, you can remove 1 Spell Counter from your field, instead.
1127737	Each time a monster is Xyz Summoned: The Summoning player takes 500 damage. During each player's End Phase, the turn player takes 500 damage if they control a face-up Xyz Monster.
1142880	This card's name becomes "Cyber Dragon" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of "Cyber Dragon Nachster" once per turn.
1149109	Neither player can add cards from the Deck to their hand except by drawing them. Monsters cannot be Special Summoned from the Main Deck. Destroy this card during your 2nd Standby Phase after activation.
1151281	[INVALID_DATA]
1154611	Target 1 banished card; return it to the GY. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.
1184620	A man-hunter with powerful arms that can crush boulders.
1197847	Equip only to a Normal Monster. The first time the equipped monster would be destroyed by battle each turn, it is not destroyed. At the end of the Battle Phase, if the equipped monster battled: You can Special Summon 1 "Phantasm Spiral Dragon" from your hand, Deck, or Graveyard, and equip it with this card, then if they have any, your opponent discards 1 card. You can only use this effect of "Phantasm Spiral Wave" once per turn.
1200843	Equip only to a Spirit monster. The equipped monster does not have to have its effect that returns it to the hand activated. If it would be destroyed by battle, destroy this card instead.
1218214	[INVALID_DATA]
1224927	When an opponent's monster declares an attack: Destroy all Spell and Trap Cards on the field.
1248895	When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck.
1249315	[INVALID_DATA]
1264319	Fusion Summon 1 "Gem-Knight" Fusion Monster from your Extra Deck, using monsters from your hand or your side of the field as Fusion Materials. If this card is in your Graveyard: You can banish 1 "Gem-Knight" monster from your Graveyard; add this card to your hand.
1274455	During either player's turn: You can banish this card; Special Summon 1 Level 4 or higher "Kozmo" monster from your hand. You can only use this effect of "Kozmo Soartroopers" once per turn. Once per turn: You can pay 1000 LP, then target 1 Psychic-Type "Kozmo" monster in your Graveyard; Special Summon it.
1278431	You can discard 1 card; add 1 "Ancient Gear Golem", or 1 Spell/Trap that specifically lists the card "Ancient Gear Golem" in its text, from your Deck to your hand. You can only use this effect of "Ancient Gear Frame" once per turn. If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step. If this face-up card in its owner's control leaves the field because of an opponent's card effect: You can Special Summon up to 3 "Ancient Gear Golem" and/or "Ancient Gear Golem - Ultimate Pound" from your hand, ignoring their Summoning conditions.
1281505	If this card is sent from the Monster Card Zone to the Graveyard: You can pay 500 Life Points, then target 1 face-up monster you control; equip this card to that target. If the equipped monster would be destroyed, you can destroy this Equip Card instead.
1287123	When an Effect Monster's effect to destroy a Spell or Trap Card(s) on the field is activated, you can send 1 card from your hand to the Graveyard to negate its activation and destroy the card.
1295111	If you Link Summon a "Salamangreat" Link Monster, you can use 1 "Salamangreat" Link Monster you control with its same name as the entire material. During damage calculation, if your monster battles: You can pay 1000 LP, then target 1 Link Monster you control; make its ATK 0, and if you do, gain LP equal to its original ATK. You can only use each effect of "Salamangreat Sanctuary" once per turn.
1315120	If only your opponent controls a monster, you can Special Summon this card (from your hand). Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can add 1 "T.G." monster from your Deck to your hand, except "T.G. Striker".
1322368	[INVALID_DATA]
1344018	Your opponent cannot target Spellcaster-Type monsters you control with Trap Cards or effects. You can only use the following effect of "Time Pendulumgraph" once per turn. You can target 1 "Magician" Pendulum Monster Card in your Monster Zone or Pendulum Zone, and 1 card your opponent controls; destroy them. Then, if this effect did not destroy 2 cards, you can send 1 card on the field to the Graveyard.
1347977	FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior-Type monster, you can target 1 additional face-up monster on the field; return the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior-Type monster.
1353770	Once per turn: You can Special Summon 1 Fairy monster from your hand. You must control no monsters to activate and to resolve this effect.
1357146	Cannot be used as a Synchro Material. This card's name becomes "Des Frog" while it is on the field. If this card is in your Graveyard: You can banish 1 "Frog" monster from your Graveyard; Special Summon this card.
1362589	If this card attacks, it is changed to Defense Position at the end of the Damage Step.
1371589	If this card inflicts battle damage to your opponent by battle with a monster: Gain LP equal to the battle damage inflicted.
1372887	For the rest of this turn, each time a card(s) is added from the Main Deck or GY to your opponent's hand, except by drawing them, you immediately draw 1 card. You can only activate 1 "Shared Ride" per turn.
1409474	Your opponent cannot target this card with card effects. You can declare 1 card type (Monster, Spell, or Trap); send the top card of your Deck to the Graveyard, then if it was the declared card type, you can Special Summon 1 FIRE monster from your hand or Graveyard. You can only use this effect of "Hazy Flame Sphynx" once per turn.
1412158	[INVALID_DATA]
1426714	[INVALID_DATA]
1426715	Special Summoned with the effect of "Number 48: Shadow Lich".
1434352	The ATK of this card is the number of Monster Cards in your Graveyard x 300.
1435851	A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.
1474910	You can Tribute this card and 1 face-up Insect monster, except "Bee List Soldier"; draw 2 cards.
1475311	Draw 2 cards, then banish 1 DARK monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.
1482001	[INVALID_DATA]
1498130	During either player's turn, when exactly 1 face-up "Six Samurai" monster you control is targeted by a Spell Card, Trap Card, or card effect that could have targeted this card: You can activate this effect; that Spell/Trap/effect now targets this face-up card on the field, instead.
1508649	[INVALID_DATA]
1516510	[INVALID_DATA]
1525329	When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation.
1527418	If this card is Special Summoned: You can gain 500 LP for each monster "Fur Hire" you control with a different name, except "Wiz, Sage Fur Hire". When your opponent activates a Spell/Trap Card or effect (Quick Effect): You can discard 1 card "Fur Hire"; negate the activation. You can only use each effect of "Wiz, Sage Fur Hire" once per turn.
1533292	When this card is Normal Summoned, you can add 1 Level 2 "R-Genex" monster from your Deck to your hand.
1539051	Draw 1 card for each different "Neo-Spacian" name on the monsters you control.
1546123	[INVALID_DATA]
1546124	[INVALID_DATA]
1557341	When this card inflicts battle damage to your opponent: Inflict 300 damage to your opponent.
1557499	A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.
1561110	[INVALID_DATA]
1566817	Unaffected by the activated effects of monsters, except monsters whose Level is equal or lower than this card. You can banish up to 3 cards from your GY; increase this card's Level by that number, until the end of this turn. You can only use this effect of "Cupid Serve" once per turn.
1571945	FLIP: Target 1 Defense Position monster on the field; destroy that target.
1580833	[INVALID_DATA]
1586457	You can Special Summon this card (from your hand) by sending 1 other Machine-Type monster from your hand to the Graveyard.
1596508	Cards cannot be sent from the Deck to the GY.
1621413	[INVALID_DATA]
1637760	During your opponent's Main Phase, when they would Special Summon a monster(s): Negate the Summon, and if you do, destroy that monster, then your opponent draws 1 card, then end the Main Phase.
1639384	[INVALID_DATA]
1641882	"Petit Angel" + "Mystical Sheep #2"
1644289	Equip only to a "Vylon" monster. It cannot be targeted by the opponent's monster effects or Trap effects. If this face-up card on the field is sent to the Graveyard: You can add 1 "Vylon" Spell Card from your Deck to your hand.
