id	type
100000118	2
100000119	2
100000120	65538
100000121	131074
100000122	2
100000124	17
100000125	17
100000126	17
100000127	17
100000128	17
100000129	17
100000136	131076
100000137	262146
100000138	262146
100000139	33
100000140	4129
100000141	4129
100000142	4129
100000143	4129
100000144	4129
100000145	33558561
100000146	4129
100000147	2
100000149	262146
100000150	8225
100000151	8225
100000152	8225
100000153	8225
100000154	8225
100000155	8225
100000156	8225
100000157	33
100000158	2
100000159	33
100000160	33
100000161	33
100000162	33
100000163	33
100000164	131074
100000166	4
100000167	2
100000168	2
100000169	262146
100000170	33
100000171	33
100000172	33
100000173	2
100000174	131074
100000175	524290
100000176	65538
100000177	33
100000178	8388641
100000179	8388641
100000180	65538
100000181	4
100000182	4
100000183	262146
100000185	131076
100000186	524290
100000187	65538
100000188	4
100000189	4
100000190	33
100000191	2
100000192	2
100000193	131074
100000194	131076
100000195	33
100000196	262146
100000197	262146
100000198	131076
100000199	65538
100000200	33
100000206	33
100000209	4
100000210	2
100000211	262146
100000212	131076
100000218	4
100000219	262146
100000220	4
100000221	4
100000222	4
100000223	2
100000224	33
100000225	2
100000226	131074
100000227	524290
100000228	65538
100000229	262146
100000233	33
100000234	131076
100000235	131074
100000236	131074
100000237	131076
100000238	2
100000239	2
100000240	33
100000241	4
100000242	524290
100000243	4129
100000244	4129
100000245	33
100000246	2
100000247	2
100000248	524290
100000250	2
100000251	4
100000252	4
100000253	2
100000254	4
100000255	4
100000256	33
100000257	33
100000258	131076
100000260	4
100000261	2
100000262	2
100000263	4
100000264	4
100000265	4
100000270	2
100000271	4
100000272	131076
100000274	33
100000275	33
100000276	65538
100000277	2
100000278	2
100000280	524290
100000281	524290
100000282	8225
100000285	4
100000286	131074
100000287	131076
100000290	131074
100000291	65538
100000292	131076
100000293	4
100000295	4
100000296	1048580
100000297	262146
100000301	33
100000302	33
100000303	33
100000304	33
100000307	4
100000308	4
100000309	33554465
100000312	65538
100000315	33
100000316	33
100000317	2
100000318	2
100000320	2
100000321	33
100000322	33
100000323	131074
100000330	524290
100000331	524290
100000332	524290
100000333	524290
100000335	65538
100000336	8225
100000340	4129
100000341	4129
100000342	33
100000343	33
100000344	33
100000345	33
100000346	33
100000347	33
100000348	4129
100000349	2
100000350	524290
100000351	2
100000355	33
100000360	33
100000361	33
100000363	2
100000364	262146
100000365	2
100000370	262146
100000380	524290
100000381	524290
100000382	524290
100000383	524290
100000384	524290
100000390	2
100000391	65538
100000410	33
100000411	2
100000412	524290
100000413	4
100000414	131076
100000430	4
100000431	1048580
100000432	131076
100000440	4
100000441	4
100000442	4
100000444	4
100000445	4
100000470	4
100000471	65538
100000473	4
100000474	2
100000475	2
100000478	2
100000480	4113
100000481	33
100000482	33
100000483	12321
100000488	161
100000490	2
100000498	8388641
100000501	2
100000502	4
100000503	4
100000504	131076
100000505	33
100000506	33
100000507	33
100000508	33
100000509	33
100000510	33
100000511	33
100000512	33
100000514	17
100000515	17
100000516	17
100000517	17
100000518	17
100000520	4
100000523	4
100000524	2
100000526	2
100000527	1057
100000528	2
100000529	2
100000530	131076
100000531	2
100000532	2
100000533	33
100000534	33
100000535	65538
100000536	4
100000537	33
100000538	33
100000539	2
100000540	33
100000541	2
100000542	131076
100000543	33
100000544	33
100000545	4
100000546	33
100000547	33
100000548	33
100000549	8388641
100000550	4
100000551	2
100000552	262146
100000553	4
100000554	2
100000555	2
100000556	4
100000557	4
100000560	33
100000561	33
100000562	33
100000563	2
100000564	131074
100000565	131076
100000570	97
100000571	2
100000581	131074
100000582	2
100000600	2
100000601	65538
100000602	1048580
100000603	1048580
100000604	1048580
100000620	97
100000621	97
100000622	97
100000630	17
100000631	17
100000632	17
100000633	2
100000650	131074
100000651	33554465
100000652	33554465
100000653	33554465
100000654	33554465
100000655	33554465
100000656	33554465
100000657	2
100000658	2
100000659	2
100000660	2
100000661	2
100000662	2
100000663	2
100000664	2
100000700	33
100000704	33
100000705	33
100000706	33
100001001	33
100001002	33
100001003	33
100001004	4
100001005	33
100001006	33
100001007	16401
100001008	33554465
100001009	16514
100001010	16545
100002001	33
100002002	2
100002004	16385
100003002	161
100003003	161
100003004	161
100004001	33
100004002	33
100004003	33554465
100005001	2
100005002	65538
100006001	2
100008001	131076
100010001	8388641
100100001	2
100100002	2
100100003	2
100100004	2
100100005	2
100100006	2
100100007	2
100100008	2
100100009	2
100100010	2
100100011	2
100100012	2
100100013	2
100100014	2
100100015	2
100100016	2
100100017	2
100100018	2
100100019	2
100100020	2
100100021	2
100100022	2
100100023	2
100100024	2
100100025	2
100100026	2
100100027	2
100100028	2
100100029	2
100100030	2
100100031	2
100100032	2
100100033	2
100100034	2
100100035	2
100100036	2
100100037	2
100100038	2
100100039	2
100100040	2
100100041	2
100100042	2
100100043	2
100100044	2
100100045	2
100100046	2
100100047	2
100100048	2
100100049	2
100100050	2
100100051	2
100100052	2
100100053	2
100100054	2
100100055	2
100100056	2
100100057	2
100100058	2
100100059	2
100100060	2
100100061	2
100100062	2
100100063	2
100100064	2
100100065	2
100100066	2
100100067	2
100100068	2
100100069	2
100100070	2
100100071	2
100100072	2
100100073	2
100100074	2
100100075	2
100100076	2
100100077	2
100100078	2
100100079	2
100100080	2
100100081	2
100100082	2
100100083	2
100100084	2
100100090	33
100100091	33
100100100	2
100100101	2
100100102	2
100100103	2
100100104	2
100100105	65538
100100106	65538
100100107	2
100100108	65538
100100109	65538
100100110	65538
100100111	2
100100112	2
100100113	2
100100114	65538
100100115	65538
100100116	65538
100100117	2
100100118	2
100100119	2
100100120	2
100100121	65538
100100122	2
100100123	2
100100124	2
100100125	2
100100126	2
100100127	2
100100128	2
100100129	2
100100130	2
100100131	2
100100132	2
100100133	2
100100150	4
100100151	131076
100100152	131076
100100153	131076
100100154	4
100100155	131076
100100156	4
100100500	65538
100100501	65538
100100502	65538
100100503	65538
100100504	65538
100100505	65538
100100506	65538
100100507	65538
100100508	65538
100100509	65538
100100510	65538
100100511	65538
100100512	65538
100100513	65538
100100514	65538
100100515	65538
100100516	65538
100100517	65538
100100518	65538
100100519	65538
100100520	65538
100100521	65538
100100522	65538
100100525	2
100100700	2
100101000	130
100101001	130
100101002	130
100101003	130
110000000	524290
110000010	33
110000011	33
110000012	33
110000099	131076
110000100	524290
110000101	524290
110000102	262146
110000103	268435489
110000104	268435489
110000105	268435489
110000106	268435489
110000107	268435489
110000108	268435489
110000109	268435489
110000110	268435489
110000111	268435489
110000112	268435489
110000113	2
110000114	2
110000115	4
110000116	2
110000117	268435489
110000120	268435489
111008301	2
111009401	2
111011002	524290
111011401	4
111011501	4
111011802	131074
111011803	8388641
111011901	2
111011903	8388641
111011904	8388641
111011905	8388641
111011906	8388641
111012401	262146
111203901	2
111203902	4
111215001	524290
111217602	4
111300001	131076
111302501	131076
111310102	4
120000016	130
140000074	17
140000075	65538
140000076	33554465
140000082	2
140000083	33554465
140000085	16401
140000122	4
140000131	262210
150000000	524290
150000001	268435458
150000002	268435458
150000003	268435458
150000004	268435458
150000005	268435458
150000006	268435458
150000007	268435458
150000008	16401
150000009	268435458
150000010	268435458
150000011	268435458
150000012	268435458
150000013	268435460
150000014	268435458
150000015	268435458
150000016	268435458
150000017	268435458
150000018	268435458
150000019	268435458
150000020	268435458
150000021	268435458
150000022	268435458
150000023	268435458
150000024	268435458
150000025	268435458
150000026	268435458
150000027	268435458
150000028	268435458
150000029	268435458
150000030	268435458
150000031	268435458
150000032	268435458
150000033	268435458
150000034	268435458
150000035	268435458
150000036	268435458
150000037	268435458
150000038	268435460
150000039	268435458
150000040	268435460
150000041	268435458
150000042	268435458
150000043	268435458
150000044	268435458
150000045	268435458
150000046	268435458
150000047	268435458
150000048	268435458
150000049	268435458
150000050	268435458
150000051	268435458
150000052	268435460
150000053	268435460
150000054	268435460
150000055	268435460
150000056	268435460
150000057	268435460
150000058	268435460
150000059	268435460
150000060	268435458
150000061	268435458
150000062	268435458
150000063	268435458
150000064	268435458
150000065	268435458
150000066	268435458
150000067	268435458
150000068	268435458
150000069	268435458
150000070	268435458
150000071	268435458
150000072	268435458
150000073	268435458
150000074	268435458
150000075	16401
150000076	268435458
150000077	268435458
150000078	268435458
150000079	268435458
150000080	268435458
150000081	268435458
150000082	268435458
150000083	268435458
150000084	268435458
150000085	268435458
150000086	268435458
150000087	268435458
150000088	268435458
150000089	268435458
150000090	268435458
150000091	268435458
150000092	268435458
150000094	268435458
150000095	268435458
150000096	268435458
150000097	268435458
150000098	268435458
150000099	268435458
150000100	268435458
150000101	268435458
150000102	268435458
150000103	268435458
150000104	268435458
150000105	268435458
150000106	268435458
150000107	268435458
150000108	268435458
150000109	268435458
150000110	268435458
150000111	268435458
151000000	268435456
151000001	268959746
151000002	268959746
151000003	268959746
151000004	268959746
151000005	268959746
151000006	268959746
151000007	268959746
151000008	268959746
151000009	268959746
151000010	268959746
151000011	268959746
151000012	268959746
151000013	268959746
151000014	268959746
151000015	268959746
151000016	268959746
151000017	268959746
151000018	268959746
151000019	268959746
151000020	268959746
151000021	268959746
151000022	268959746
151000023	268959746
151000024	268959746
151000025	268959746
151000026	268959746
151000027	268959746
151000028	268959746
151000029	268959746
151000030	268959746
151000031	268959746
151000032	268959746
151000033	268959746
151000034	268959746
151000035	268959746
151000036	268959746
151000037	268959746
151000038	268959746
151000039	268959746
151000040	268959746
151000041	268959746
151000042	268959746
151000043	268959746
151000044	268959746
151000045	268959746
151000046	268959746
151000047	268959746
151000048	268959746
151000049	268959746
151000050	268959746
151000051	268959746
151000052	268959746
151000053	268959746
151000054	268959746
151000055	268959746
151000056	268959746
151000057	268959746
151000058	268959746
151999999	268959746
170000111	536870945
170000112	1073741857
170000113	1073741857
170000115	2
170000116	1644167201
170000117	2
170000119	2
170000120	2
170000121	2
170000122	131076
170000123	131076
170000126	65538
170000128	4
170000149	4
170000150	97
170000151	2
170000152	2
170000153	2
170000154	97
170000155	97
170000157	97
170000158	97
170000166	33554465
170000167	33554465
170000168	33554465
170000169	33554465
170000170	33
170000171	33
170000172	33
170000173	130
170000174	161
170000175	16401
170000193	262210
170000194	262210
170000196	262210
170000197	262210
170000201	2
170000202	33554465
170000203	33554465
170000204	33554465
170000207	33
170000210	97
171000111	2
200000000	33
200000001	16384
200000002	33
200000003	16384
200000004	2
200000005	16384
316000124	2
344000000	33
344000001	33
450000000	2
450000001	262146
450000103	4
450000110	524290
450000111	33
450000112	33
450000130	4
450000153	33
450000348	2
450000349	2
450000350	33
450000351	33
450000352	33
450000353	33
450000354	33
450000357	2
450000410	131074
500000006	33
500000008	4
500000051	131074
500000140	33
500000141	33
500000142	33
500000143	97
500000147	524290
500000148	16401
500000149	524290
500000152	65538
500008302	65538
500008902	524290
500313101	131076
500314601	2
500314701	4
501000000	33
501000001	33
501000002	33
501000003	33
501000004	33
501000005	33
501000006	33
501000007	33
501000008	33
501000009	33
501000010	33
501000011	33
501000012	8225
501000013	8225
501000014	8388641
501000015	8388641
501000016	8388641
501000017	8388641
501000018	8388641
501000019	8388641
501000078	16777233
501000079	16777249
501000080	16777249
501000081	16777233
501000082	16777233
501000083	16777249
501000084	67108897
501000085	67108897
501000086	67108897
501000087	67108897
501000088	67108897
501000089	67108897
511000000	17
511000001	131076
511000002	4
511000003	131076
511000004	4
511000005	33
511000006	33
511000007	2
511000008	33
511000009	161
511000010	130
511000011	33
511000012	33554465
511000013	33554465
511000014	33
511000015	131076
511000016	33
511000017	524290
511000018	4
511000019	2
511000021	2
511000022	2
511000023	4
511000024	262146
511000025	4
511000026	33
511000027	131076
511000028	4
511000029	4
511000030	4
511000031	262146
511000032	4
511000033	33
511000034	8388641
511000035	33
511000036	4
511000037	131076
511000038	262146
511000039	524290
511000040	33
511000041	8388641
511000042	16401
511000043	4
511000044	2
511000045	131074
511000046	33
511000047	131076
511000048	131076
511000049	262146
511000050	131076
511000051	131076
511000052	262146
511000053	4
511000054	4
511000055	33
511000056	2
511000059	4
511000060	131074
511000061	131076
511000062	2
511000063	4
511000064	2
511000065	4
511000066	2
511000067	131076
511000068	16401
511000069	33
511000070	1048580
511000071	131076
511000072	4129
511000073	33
511000074	4129
511000075	33
511000076	8225
511000077	8225
511000078	12321
511000079	131076
511000080	33
511000081	33
511000082	33
511000083	131074
511000084	131074
511000085	2
511000086	65538
511000087	131076
511000088	2
511000089	33554465
511000090	131076
511000091	65538
511000092	4129
511000093	2
511000094	33
511000095	4
511000096	33
511000097	16401
511000098	4
511000099	131076
511000100	33
511000103	524290
511000104	16401
511000105	131074
511000106	65538
511000107	17
511000108	1057
511000109	1057
511000110	97
511000111	97
511000112	2
511000116	131076
511000117	97
511000118	33
511000119	524290
511000120	131074
511000121	131074
511000122	524290
511000123	131074
511000124	131074
511000125	2
511000126	33
511000127	33
511000128	33
511000129	524290
511000130	4
511000131	131074
511000132	65538
511000133	524290
511000134	65538
511000135	262146
511000136	4
511000137	33554465
511000138	2
511000139	33
511000140	33
511000141	524290
511000142	4
511000143	4
511000145	33554465
511000146	2
511000147	262146
511000148	2
511000149	33
511000150	33
511000151	33
511000152	33
511000153	33
511000154	33
511000155	65538
511000156	33
511000157	17
511000158	131076
511000159	131076
511000160	65538
511000161	4
511000162	2
511000163	33
511000164	33
511000165	33
511000167	65538
511000168	2
511000169	2
511000170	4
511000171	131074
511000172	65538
511000173	33
511000174	33
511000175	33
511000176	2
511000177	33
511000178	16401
511000179	131076
511000181	2
511000182	2
511000183	8388641
511000184	8388641
511000185	131076
511000187	2
511000188	2
511000189	131074
511000190	2
511000191	2
511000192	8388641
511000197	262146
511000198	131076
511000201	4
511000202	131076
511000203	4
511000204	2
511000205	2
511000206	131074
511000207	2
511000208	131074
511000209	2
511000210	2
511000212	4
511000213	2
511000214	1048580
511000215	65538
511000217	2
511000218	2
511000219	262146
511000220	4
511000221	4
511000222	16401
511000223	2
511000225	65538
511000226	131076
511000227	131076
511000228	33
511000229	8225
511000230	8388641
511000231	8388641
511000232	8388641
511000233	8388641
511000234	33554465
511000237	16401
511000239	33
511000240	161
511000241	130
511000242	33
511000243	33
511000244	2
511000246	33554465
511000247	8225
511000248	131076
511000250	33
511000251	4129
511000252	33
511000253	97
511000255	33
511000258	131074
511000260	8225
511000261	33554465
511000262	33
511000263	33
511000264	8225
511000265	33
511000266	131074
511000267	2
511000268	33554465
511000269	65538
511000270	2
511000271	262146
511000272	65538
511000273	1048580
511000274	4
511000275	524290
511000276	2
511000277	8388641
511000278	4
511000279	2
511000280	262146
511000281	524290
511000282	2
511000283	131074
511000284	1048580
511000285	97
511000286	17
511000287	17
511000288	4
511000289	4
511000290	33
511000291	33
511000292	4129
511000293	131074
511000294	8388641
511000295	2
511000296	8388641
511000297	4
511000298	2
511000299	4
511000300	131074
511000301	131076
511000302	4
511000303	65538
511000304	262146
511000305	65538
511000306	524290
511000307	33
511000308	33
511000309	262146
511000310	2
511000311	2
511000312	4
511000313	4
511000314	4
511000315	131074
511000316	4
511000317	4
511000318	4
511000319	262146
511000320	2
511000321	2
511000322	4
511000323	131074
511000326	262146
511000328	131074
511000329	262146
511000330	2
511000331	2
511000332	262146
511000333	2
511000334	131076
511000335	4
511000336	4
511000337	4
511000338	4
511000339	4
511000340	4
511000341	4
511000342	4
511000343	4
511000344	4
511000345	4
511000346	4
511000347	4
511000348	65538
511000349	2
511000350	2
511000351	2
511000352	65538
511000353	65538
511000354	2
511000355	262146
511000356	65538
511000357	65538
511000358	65538
511000359	2
511000360	2
511000361	2
511000362	33
511000363	33
511000364	33
511000365	33
511000366	33
511000367	33
511000368	8388641
511000369	8388641
511000370	4
511000371	16401
511000372	65538
511000373	65538
511000374	4
511000375	262146
511000376	4
511000377	65538
511000378	33554465
511000379	33
511000380	131074
511000381	2
511000382	131076
511000383	2
511000384	131076
511000385	4
511000386	4
511000387	2
511000388	33
511000389	33
511000390	33
511000391	33
511000392	33
511000393	33
511000394	4
511000395	4
511000396	524290
511000397	131074
511000400	4
511000401	2
511000402	131074
511000403	131076
511000404	1048580
511000405	131074
511000406	4
511000407	4
511000408	65538
511000410	65538
511000411	2
511000412	131076
511000413	4
511000414	262146
511000415	4
511000416	262146
511000417	4
511000418	2
511000419	131074
511000420	131074
511000421	131074
511000422	4
511000423	131074
511000424	4
511000426	2
511000427	65538
511000428	131076
511000429	2
511000430	131074
511000431	33
511000432	16417
511000433	262146
511000434	16417
511000436	33
511000437	33
511000438	33
511000439	65538
511000440	4
511000441	2
511000442	4
511000443	262146
511000444	33
511000445	4
511000446	131074
511000447	131076
511000448	2
511000449	1048580
511000450	4
511000451	65538
511000453	131076
511000454	33
511000455	4
511000456	4
511000457	65538
511000458	131076
511000460	1048580
511000461	2
511000462	97
511000463	4
511000465	131074
511000466	2
511000467	524292
511000468	2
511000469	4
511000470	33
511000471	2
511000472	131076
511000474	2
511000475	4
511000476	4
511000477	97
511000478	131076
511000479	524290
511000480	2
511000481	4
511000482	33
511000483	4
511000484	262146
511000485	2
511000486	2
511000487	2
511000488	4
511000489	262146
511000490	4
511000491	4
511000492	262146
511000493	2
511000494	65538
511000495	262146
511000496	131074
511000497	97
511000498	1048580
511000499	4
511000500	1048580
511000502	2
511000503	2
511000504	2
511000505	2
511000506	2
511000507	17
511000508	97
511000510	131074
511000511	4
511000512	8388641
511000513	8388641
511000515	8388641
511000518	65538
511000519	33
511000520	33
511000521	33
511000522	4
511000523	4
511000524	2
511000525	131074
511000526	2
511000527	33
511000531	131074
511000532	65538
511000533	262146
511000534	131074
511000535	131076
511000536	2
511000537	65538
511000538	4
511000539	33554465
511000540	65538
511000541	65538
511000542	65538
511000543	2
511000544	16417
511000545	16417
511000546	2
511000548	2
511000549	2
511000550	262146
511000551	2
511000552	2
511000553	33
511000554	2
511000555	2
511000556	131076
511000557	2
511000558	12321
511000559	16777233
511000560	16777249
511000561	131074
511000562	16777249
511000563	16777249
511000564	16777249
511000565	16777249
511000566	16777233
511000567	16777233
511000568	16777233
511000569	16777249
511000570	16777249
511000571	16777313
511000572	16777249
511000573	16777249
511000574	16777233
511000575	16777249
511000576	33
511000577	2
511000578	262146
511000579	2
511000580	2
511000581	4
511000582	2
511000583	131074
511000584	131076
511000585	2097185
511000587	161
511000589	2097185
511000590	16777249
511000591	16777377
511000592	2097185
511000593	33
511000594	33
511000595	33
511000596	33
511000597	4
511000598	65538
511000599	4
511000600	2
511000601	2
511000602	2
511000603	131076
511000604	65538
511000605	4
511000606	4
511000607	524290
511000608	16401
511000609	33
511000610	2
511000611	131074
511000612	2
511000613	2
511000614	33554465
511000615	4
511000616	4
511000617	4
511000618	4
511000619	4
511000620	131076
511000621	131076
511000622	4
511000623	4
511000624	4
511000625	33
511000626	33
511000627	4
511000629	4
511000630	33
511000631	4
511000632	33
511000633	33
511000634	4
511000635	2
511000636	2
511000637	2097185
511000638	33
511000639	33
511000640	131074
511000641	131074
511000642	33
511000643	33
511000644	33
511000645	2
511000646	131074
511000647	33
511000648	4
511000649	4
511000650	4
511000651	65538
511000652	33
511000653	33
511000654	2
511000655	2
511000656	65538
511000657	2
511000658	4
511000659	524290
511000660	33
511000661	4
511000662	4
511000664	262146
511000665	1048580
511000666	262146
511000667	131076
511000668	131074
511000669	131076
511000670	33554465
511000671	262146
511000672	2
511000673	65538
511000674	8388641
511000675	8388641
511000676	4
511000677	65538
511000678	65538
511000679	2
511000680	2
511000681	4
511000682	65538
511000683	262146
511000684	131076
511000685	2
511000686	65538
511000687	65538
511000688	33
511000689	262146
511000690	262146
511000691	2
511000692	2
511000693	2
511000694	262146
511000695	33
511000696	16401
511000697	262146
511000698	2
511000699	65538
511000700	4
511000701	4
511000702	33
511000703	33
511000704	33
511000705	97
511000706	524290
511000707	33
511000708	2
511000709	4
511000710	65538
511000711	33
511000712	33
511000713	4
511000714	131074
511000715	524290
511000716	524290
511000717	2
511000718	524290
511000719	33
511000720	33
511000721	2097185
511000722	131074
511000723	131076
511000724	4
511000725	2
511000726	524290
511000727	2
511000728	2
511000729	2
511000730	4
511000731	262146
511000732	2
511000733	131076
511000734	131074
511000735	131076
511000736	2
511000737	33
511000738	33
511000740	4129
511000742	4129
511000743	4129
511000744	4
511000745	262146
511000746	262146
511000747	2
511000748	65538
511000749	65538
511000750	2
511000751	262146
511000752	2
511000753	2
511000754	65538
511000755	65538
511000756	262146
511000757	65538
511000758	262146
511000759	2
511000760	4129
511000761	33
511000762	33
511000763	4129
511000764	4
511000765	4
511000767	4129
511000769	33
511000770	8225
511000772	33
511000773	131076
511000774	8225
511000775	4
511000776	4
511000777	65538
511000778	4
511000779	2
511000780	2
511000781	2
511000782	131076
511000783	2
511000784	2
511000785	131074
511000786	4
511000787	33
511000788	33
511000789	4
511000790	2
511000791	4
511000792	131076
511000793	4
511000794	33
511000795	4129
511000796	2
511000797	4
511000798	8225
511000799	33
511000800	131074
511000801	262146
511000803	4
511000804	131076
511000805	4
511000806	4129
511000807	8225
511000808	131074
511000809	131074
511000810	161
511000811	130
511000812	33
511000813	33
511000814	2
511000815	4
511000816	4
511000817	8225
511000818	33
511000819	33554465
511000820	4
511000821	131074
511000822	4
511000823	4
511000824	4
511000825	4
511000826	33
511000827	33
511000828	4
511000829	2
511000830	4
511000831	4
511000832	131074
511000833	262146
511000834	4
511000835	262146
511000836	2
511000837	131076
511000838	2
511000839	4
511000840	524290
511000841	4
511000842	4
511000843	4
511000844	4
511000845	16401
511000846	4
511000847	131076
511000848	4
511000849	4
511000850	4
511000851	4
511000852	4
511000853	33
511000854	2
511000855	4
511000856	4
511000857	4
511000858	4
511000859	4
511000860	131076
511000861	4
511000862	131076
511000863	33
511000864	4
511000865	4
511000866	2
511000867	33
511000868	33
511000869	33
511000870	33
511000871	33
511000872	33
511000873	4
511000874	4
511000875	1048580
511000876	4
511000877	4
511000878	65538
511000879	16401
511000880	33
511000881	4
511000882	16401
511000883	131076
511000884	4
511000885	1048580
511000886	33
511000887	33554465
511000888	33
511000889	33
511000890	2
511000891	16401
511000892	4
511000893	33
511000894	4
511000895	1048580
511000896	131076
511000897	131076
511000898	4
511000899	4
511000900	4
511000901	4
511000902	131076
511000903	131076
511000904	4
511000905	4
511000906	4
511000907	131076
511000908	33
511000909	33
511000910	33
511000911	33
511000912	33
511000913	4
511000914	131076
511000915	4
511000916	33554465
511000917	33
511000918	33
511000919	131074
511000920	65538
511000921	4
511000922	4
511000923	2
511000924	2
511000925	4
511000926	2
511000927	4
511000928	4
511000929	4
511000930	4
511000931	1048580
511000932	4
511000933	4
511000934	4
511000935	4
511000936	33
511000937	33
511000938	1048580
511000939	4
511000940	2
511000941	2
511000942	4
511000943	4
511000944	2
511000945	4
511000946	4
511000947	131076
511000948	131076
511000949	4
511000950	4
511000951	4
511000952	4
511000953	4
511000954	131076
511000955	4
511000956	4
511000957	33
511000958	131076
511000959	4
511000960	2
511000961	4
511000962	4
511000963	4
511000964	17
511000965	33
511000966	33
511000967	524290
511000968	4
511000969	33
511000970	2
511000971	4
511000972	2
511000973	4
511000974	131076
511000975	4
511000976	4
511000977	2
511000978	2
511000979	4
511000980	131074
511000981	131074
511000982	2
511000983	65538
511000984	262146
511000985	4
511000986	4
511000987	4
511000988	2097185
511000989	33
511000990	65
511000991	131074
511000992	131074
511000993	33
511000994	33
511000995	16777249
511000996	131076
511000997	16777249
511000998	262146
511000999	2
511001000	131076
511001001	16401
511001002	2
511001003	4
511001004	131074
511001005	1048580
511001006	131076
511001007	33
511001010	33
511001013	97
511001014	65538
511001015	2
511001016	131076
511001017	262146
511001018	4
511001019	2
511001020	131074
511001021	4
511001022	4
511001023	4
511001024	4
511001025	4
511001026	131074
511001027	2
511001028	131074
511001029	131074
511001030	131076
511001031	4
511001032	4
511001033	2
511001034	65538
511001035	131076
511001036	4
511001037	2
511001038	4
511001039	33
511001040	33
511001041	33
511001042	4
511001043	16777249
511001044	16777249
511001045	65538
511001048	8225
511001049	131074
511001050	2
511001051	8388641
511001052	33
511001055	33
511001056	2
511001057	97
511001058	131074
511001059	33
511001060	16386
511001061	65538
511001062	65538
511001063	2
511001064	131076
511001065	4
511001066	2
511001067	4
511001068	2
511001069	131076
511001070	131076
511001071	4
511001072	2
511001073	4
511001074	16777249
511001075	131074
511001076	17
511001077	33
511001078	33
511001079	33
511001080	33
511001081	33
511001082	33
511001083	33
511001084	33
511001085	33
511001086	131076
511001087	4
511001088	2
511001089	131074
511001090	16777249
511001091	16777249
511001092	16777249
511001093	16777249
511001094	16777249
511001095	16777249
511001096	16777249
511001097	16777249
511001098	2
511001099	4
511001100	2
511001101	33
511001102	4
511001103	2
511001104	4
511001105	4
511001106	1048580
511001107	131076
511001108	4
511001109	2
511001111	33
511001112	4
511001113	131074
511001114	33
511001115	33
511001116	4
511001117	97
511001118	2
511001119	131076
511001120	4
511001121	4
511001122	4
511001123	33
511001124	33
511001125	4
511001126	2
511001127	2
511001128	17
511001129	4
511001130	2
511001131	33
511001132	131076
511001134	33
511001135	33
511001136	2
511001137	33
511001138	2
511001139	33554465
511001140	4
511001141	33
511001142	2
511001143	4
511001144	4
511001145	65538
511001146	33
511001147	33
511001148	33
511001149	2
